matched pairs of er	kea:1042
cefoxitin	econ:552 auto:273 kea:557 StructMineDataPipeline:386 spacy_np:325 textrank:349
marsden nhs foundation	econ:853 kea:1128
suv max	econ:516 auto:92 rake:350 kea:611 StructMineDataPipeline:1028 spacy_np:964
cfp	econ:888 auto:1009 kea:981 StructMineDataPipeline:1098 spacy_np:1065 textrank:749
alkylating agent	auto:218 rake:329 kea:1149 StructMineDataPipeline:1117 spacy_np:1103
treatment failure among hospitalized patients	rake:14
eradication	econ:375 auto:470 kea:74 StructMineDataPipeline:149 spacy_np:135 textrank:444
sua	econ:378 auto:508 kea:546 StructMineDataPipeline:689 spacy_np:699 textrank:323
fonds pierre berg	econ:874 rake:121 kea:1154 spacy_np:1075
acidosis	econ:418 auto:444 kea:117 StructMineDataPipeline:298 spacy_np:317 textrank:560
merck sharp dohme	econ:818 auto:26 rake:93 kea:1027 StructMineDataPipeline:988 spacy_np:860
meticillin resistant staphylococcus aureus mrsa	auto:170
arizona hinshawii	econ:1013 rake:264 kea:907 StructMineDataPipeline:1133 textrank:554
mainly beige brite adipocytes	rake:43 spacy_np:1076
malaria	econ:17 auto:384 kea:4 StructMineDataPipeline:43 spacy_np:22 textrank:121
39 2 c	spacy_np:1030
angiotensin ii receptor blocker valsartan	rake:3 StructMineDataPipeline:1134
sodium-potassium-atpase	econ:1069 kea:1089 StructMineDataPipeline:1107 spacy_np:1031
racial groups	econ:404 auto:134 rake:213 kea:716 StructMineDataPipeline:558 spacy_np:668
structure from electrical impedance	kea:876
following treatment	rake:168 kea:1151 StructMineDataPipeline:1041 spacy_np:1032 textrank:106
institute	econ:1065 auto:458 kea:64 StructMineDataPipeline:341 spacy_np:722 textrank:66
ctx	econ:1087 auto:699 kea:428 StructMineDataPipeline:909 spacy_np:794 textrank:600
streptococcus faecalis	econ:553 auto:66 rake:352 kea:1077 StructMineDataPipeline:812 spacy_np:648
etiology	econ:560 auto:510 kea:359 StructMineDataPipeline:62 spacy_np:189 textrank:481
growth restriction	econ:21 auto:571 rake:149 kea:629 StructMineDataPipeline:1064 spacy_np:1033
salmeterol	econ:859 auto:619 kea:480 StructMineDataPipeline:534 spacy_np:458 textrank:370
adverse cardiovascular outcomes	econ:1090 auto:95 rake:80 kea:864 StructMineDataPipeline:787 spacy_np:636
hbp	econ:23 auto:759 kea:541 StructMineDataPipeline:677 spacy_np:591 textrank:577
mdr pathogens	econ:1063 rake:344 kea:1158 StructMineDataPipeline:1108 spacy_np:1034
epidermal growth factor receptor egfr	econ:438 auto:35 rake:0 StructMineDataPipeline:682 spacy_np:765
haemophilia	econ:25 auto:359 kea:492 StructMineDataPipeline:411 spacy_np:340 textrank:42
american joint committee on cancer ajcc	auto:157
statistically significant differences	econ:1110 auto:763 rake:37 spacy_np:510 textrank:774
nanb hepatitis	econ:472 auto:140 rake:188 kea:555 StructMineDataPipeline:921 spacy_np:632
readmission	econ:27 auto:335 kea:497 StructMineDataPipeline:304 spacy_np:274 textrank:533
fluorodeoxyglucose positron emission tomography fdg pet	auto:165
durham	econ:891 auto:466 kea:1115 StructMineDataPipeline:1058 spacy_np:983 textrank:13
suicides	econ:961 auto:664 kea:524 StructMineDataPipeline:401 spacy_np:433 textrank:322
san francisco	econ:28 auto:5 rake:100 kea:774 StructMineDataPipeline:524 spacy_np:468
derivatives	econ:918 auto:957 kea:330 StructMineDataPipeline:609 spacy_np:715 textrank:553
toxoplasmosis	econ:29 auto:198 kea:525 StructMineDataPipeline:429 spacy_np:356 textrank:660
vaccine	econ:251 auto:557 kea:18 StructMineDataPipeline:48 spacy_np:111 textrank:3
calcium carbonate	econ:912 auto:14 rake:63 kea:823 StructMineDataPipeline:633 spacy_np:527
ventricular end-diastolic pressure	econ:582 kea:1016 StructMineDataPipeline:930 spacy_np:798
prep	econ:1076 auto:641 kea:374 StructMineDataPipeline:657 spacy_np:562 textrank:257
statistically significant p 05	auto:1076 rake:29
micronutrients	econ:768 auto:827 kea:203 StructMineDataPipeline:578 spacy_np:531 textrank:638
optimal management	econ:1152 auto:862 rake:243 kea:1044 StructMineDataPipeline:347 spacy_np:384
comorbidities	econ:329 auto:587 kea:496 StructMineDataPipeline:79 spacy_np:60 textrank:375
antigens	econ:35 auto:863 kea:162 StructMineDataPipeline:125 spacy_np:80 textrank:147
pfs	econ:322 auto:316 kea:587 StructMineDataPipeline:322 spacy_np:321 textrank:506
everolimus	econ:611 auto:570 kea:1079 StructMineDataPipeline:562 spacy_np:405 textrank:709
substantia nigra	econ:410 auto:87 rake:312 kea:914 StructMineDataPipeline:790 spacy_np:1057
opioids	econ:359 auto:262 kea:267 StructMineDataPipeline:261 spacy_np:231 textrank:207
science	econ:39 auto:264 kea:216 StructMineDataPipeline:142 spacy_np:115 textrank:619
20th century	econ:664 auto:74 rake:313 kea:993 StructMineDataPipeline:395 spacy_np:1113
cataract	econ:628 auto:408 kea:125 StructMineDataPipeline:381 spacy_np:345 textrank:511
lymphocytosis	econ:909 auto:755 kea:561 StructMineDataPipeline:729 spacy_np:687 textrank:677
degenerative joint disease	econ:834 auto:123 rake:40 kea:770 StructMineDataPipeline:622 spacy_np:575
paralysis	econ:751 auto:427 kea:490 StructMineDataPipeline:333 spacy_np:300 textrank:558
daptomycin	econ:835 auto:604 kea:193 StructMineDataPipeline:520 spacy_np:502 textrank:522
acute aortic dissection	econ:1024 auto:101 rake:61 kea:843 StructMineDataPipeline:559 spacy_np:489
keratitis	econ:923 auto:688 kea:292 StructMineDataPipeline:659 spacy_np:564 textrank:151
readmissions	econ:1097 auto:404 kea:225 StructMineDataPipeline:342 spacy_np:329 textrank:270
counseling	econ:567 auto:672 kea:380 StructMineDataPipeline:297 spacy_np:194 textrank:37
lactase	econ:373 auto:728 kea:237 StructMineDataPipeline:1045 spacy_np:966 textrank:455
nystagmus	econ:952 auto:769 kea:522 StructMineDataPipeline:842 spacy_np:623 textrank:457
hypersensitivity	econ:50 auto:767 kea:424 StructMineDataPipeline:318 spacy_np:308 textrank:670
animal	econ:355 auto:592 kea:357 StructMineDataPipeline:392 spacy_np:812 textrank:105
signaling pathway	econ:443 auto:48 rake:151 kea:1086 spacy_np:1013 textrank:720
titre	econ:52 auto:1023 kea:743 StructMineDataPipeline:357 spacy_np:503 textrank:198
erlotinib	econ:435 auto:537 kea:917 StructMineDataPipeline:443 spacy_np:336 textrank:637
neurocysticercosis	econ:1008 auto:396 kea:331 StructMineDataPipeline:476 spacy_np:409 textrank:374
clone	econ:474 auto:875 kea:585 StructMineDataPipeline:580 spacy_np:1017 textrank:335
tumor necrosis factor tnf	econ:477 auto:76 rake:17 StructMineDataPipeline:543 spacy_np:838
bioinformatics	econ:503 auto:532 kea:1025 StructMineDataPipeline:927 spacy_np:832 textrank:768
calcitriol	econ:429 auto:369 kea:318 StructMineDataPipeline:353 spacy_np:313 textrank:419
prostate	econ:56 auto:739 kea:96 StructMineDataPipeline:186 spacy_np:302 textrank:218
neck	econ:57 auto:630 kea:320 StructMineDataPipeline:137 spacy_np:125 textrank:469
lrp	econ:519 auto:762 kea:645 StructMineDataPipeline:960 spacy_np:829 textrank:524
hypoglycaemia	econ:631 auto:271 kea:150 StructMineDataPipeline:189 spacy_np:148 textrank:449
old woman	econ:58 rake:117 kea:926 StructMineDataPipeline:1144 textrank:767
thermogenesis	econ:458 auto:703 kea:706 StructMineDataPipeline:634 spacy_np:565 textrank:719
dilatation	econ:973 auto:860 kea:363 StructMineDataPipeline:292 spacy_np:260 textrank:353
volunteers	econ:711 auto:772 kea:198 StructMineDataPipeline:140 spacy_np:228 textrank:463
mastectomy	econ:61 auto:702 kea:385 StructMineDataPipeline:234 spacy_np:177 textrank:459
smoking history	econ:1132 auto:149 rake:225 kea:812 StructMineDataPipeline:950 spacy_np:519
serotonergic	econ:959 auto:969 kea:1070 StructMineDataPipeline:1082 spacy_np:1079 textrank:471
rnfl	econ:692 auto:526 kea:133 StructMineDataPipeline:941 spacy_np:950 textrank:507
basic science	econ:929 auto:89 rake:226 kea:618 StructMineDataPipeline:607 spacy_np:589
proteus mirabilis	econ:471 auto:21 rake:135 kea:1105 StructMineDataPipeline:660 spacy_np:551
immunisation	econ:343 auto:405 kea:41 StructMineDataPipeline:215 spacy_np:183 textrank:409
ipth	econ:64 auto:938 kea:790 StructMineDataPipeline:822 spacy_np:688 textrank:595
sucralfate	econ:525 auto:201 kea:6 StructMineDataPipeline:117 spacy_np:279 textrank:112
ethics committee	econ:671 auto:28 rake:331 kea:1013 StructMineDataPipeline:916 spacy_np:1081
vte	econ:351 auto:428 kea:160 StructMineDataPipeline:266 spacy_np:175 textrank:333
sodium	econ:68 auto:585 kea:24 StructMineDataPipeline:128 spacy_np:89 textrank:78
polycystic ovary syndrome pcos	econ:924 auto:90 rake:26 StructMineDataPipeline:772 spacy_np:702
2-year follow-up	econ:1108 kea:880 StructMineDataPipeline:623 spacy_np:725
cholestasis	econ:69 auto:241 kea:344 StructMineDataPipeline:334 spacy_np:291 textrank:316
selenium	econ:70 auto:217 kea:134 StructMineDataPipeline:404 spacy_np:388 textrank:161
important advances	econ:1082 auto:835 rake:253 kea:1052 StructMineDataPipeline:581 spacy_np:546
osteonecrosis	econ:642 auto:421 kea:732 StructMineDataPipeline:414 spacy_np:380 textrank:528
governments	econ:747 auto:294 kea:690 StructMineDataPipeline:214 spacy_np:203 textrank:271
clp	econ:1039 auto:803 kea:556 StructMineDataPipeline:965 spacy_np:789 textrank:561
cefoperazone	econ:674 auto:355 kea:753 StructMineDataPipeline:383 spacy_np:357 textrank:472
mesothelioma	econ:588 auto:256 kea:58 StructMineDataPipeline:438 spacy_np:392 textrank:248
loxl2	econ:1089 kea:739 StructMineDataPipeline:1083 spacy_np:995
infarcts	econ:73 auto:960 kea:350 StructMineDataPipeline:508 spacy_np:784 textrank:122
dyspepsia	econ:382 auto:473 kea:97 StructMineDataPipeline:273 spacy_np:235 textrank:245
posterior fossa	econ:1015 auto:53 rake:106 kea:729 StructMineDataPipeline:776 textrank:726
term	econ:774 auto:932 kea:1143 StructMineDataPipeline:175 spacy_np:182 textrank:249
prophylaxis	econ:75 auto:506 kea:188 StructMineDataPipeline:51 spacy_np:37 textrank:290
tuberculin	econ:77 auto:635 kea:543 StructMineDataPipeline:834 spacy_np:630 textrank:461
skeletal	auto:489 kea:1125 StructMineDataPipeline:1039 textrank:395
north africa	econ:867 auto:100 rake:348 kea:785 StructMineDataPipeline:889 spacy_np:720
debilitating of psychiatric disorders	kea:912
nematode	econ:863 auto:986 kea:936 StructMineDataPipeline:1094 spacy_np:988 textrank:356
blood glucose concentration	econ:311 auto:208 rake:27 kea:1003 StructMineDataPipeline:598 spacy_np:631
0 7 mmol l	rake:41 spacy_np:1068
companies	econ:990 auto:706 kea:291 StructMineDataPipeline:675 spacy_np:700 textrank:327
relaxing factor	econ:370 auto:1015 kea:575 StructMineDataPipeline:1137 spacy_np:1083 textrank:565
ghrelin	econ:82 auto:315 kea:174 StructMineDataPipeline:462 spacy_np:434 textrank:269
laboratory	econ:682 auto:509 kea:57 StructMineDataPipeline:111 spacy_np:255 textrank:125
papillary thyroid	econ:85 auto:655 kea:763 spacy_np:919 textrank:526
herpes simplex virus	econ:86 auto:4 rake:22 kea:450 StructMineDataPipeline:377 spacy_np:779
alcohol	econ:87 auto:418 kea:26 StructMineDataPipeline:44 spacy_np:18 textrank:90
blacks	econ:549 auto:338 kea:44 StructMineDataPipeline:45 spacy_np:24 textrank:124
triazolam	econ:529 auto:483 kea:109 StructMineDataPipeline:413 spacy_np:410 textrank:567
sitagliptin	econ:986 auto:687 kea:553 StructMineDataPipeline:591 spacy_np:483 textrank:625
hcc	econ:88 auto:486 kea:85 StructMineDataPipeline:95 spacy_np:53 textrank:213
internet	econ:958 auto:227 kea:1134 StructMineDataPipeline:345 spacy_np:991 textrank:325
functional mitral regurgitation fmr	econ:1165 rake:46 StructMineDataPipeline:1111 spacy_np:1040
ige antibodies	econ:494 auto:761 rake:185 kea:676 StructMineDataPipeline:639 spacy_np:571
heroin	econ:95 auto:346 kea:269 StructMineDataPipeline:422 spacy_np:416 textrank:262
das28	econ:1123 auto:727 kea:231 StructMineDataPipeline:752 spacy_np:672
no local recurrence	spacy_np:998
clinical parameters	econ:1164 auto:691 rake:218 kea:972 StructMineDataPipeline:376 spacy_np:417
m694v	econ:896 auto:1022 kea:1150 StructMineDataPipeline:1112 spacy_np:1041
smokers	econ:97 auto:540 kea:165 StructMineDataPipeline:55 spacy_np:43 textrank:159
embryo	econ:99 auto:633 kea:494 StructMineDataPipeline:550 spacy_np:1014 textrank:111
anll	econ:1054 auto:736 kea:405 StructMineDataPipeline:686 spacy_np:679 textrank:336
collagen	econ:772 auto:650 kea:185 StructMineDataPipeline:231 spacy_np:208 textrank:102
hearing	econ:102 auto:377 kea:101 StructMineDataPipeline:412 spacy_np:217 textrank:114
carbon monoxide poisoning	econ:625 auto:29 rake:45 kea:894 StructMineDataPipeline:753 spacy_np:619
nstemi	econ:312 auto:757 kea:538 StructMineDataPipeline:673 spacy_np:579 textrank:695
chemotherapy regimens	econ:660 auto:356 rake:288 kea:1020 StructMineDataPipeline:731 spacy_np:891
molecular mimicry	econ:905 auto:25 rake:205 kea:979 StructMineDataPipeline:483 spacy_np:423
unmet need	econ:1016 auto:1039 rake:209 kea:783 StructMineDataPipeline:586 spacy_np:1086
motility	econ:969 auto:669 kea:221 StructMineDataPipeline:365 spacy_np:389 textrank:569
chemotherapy	econ:105 auto:559 kea:124 StructMineDataPipeline:22 spacy_np:7 textrank:238
gps	econ:876 auto:364 kea:113 StructMineDataPipeline:176 spacy_np:168 textrank:110
danish	econ:107 auto:289 kea:661 StructMineDataPipeline:1122 textrank:572
x-rays	econ:937 kea:594 StructMineDataPipeline:372 spacy_np:371
cell-lines	econ:1066 kea:1145 StructMineDataPipeline:1101 spacy_np:1022
kaohsiung medical university hospital	econ:809 rake:30 StructMineDataPipeline:1110 spacy_np:1036
hus	econ:111 auto:523 kea:354 StructMineDataPipeline:554 spacy_np:412 textrank:490
diffusion	econ:558 auto:333 kea:340 StructMineDataPipeline:533 spacy_np:520 textrank:532
probands	econ:1111 auto:752 kea:332 StructMineDataPipeline:346 spacy_np:552 textrank:486
prostacyclin	econ:113 auto:250 kea:315 StructMineDataPipeline:286 spacy_np:253 textrank:225
neuropsychiatric disorders	econ:753 auto:159 rake:261 kea:628 StructMineDataPipeline:643 spacy_np:582
supportive therapy	econ:1101 auto:386 rake:256 kea:968 StructMineDataPipeline:560 spacy_np:529
ebv	econ:156 auto:465 kea:194 StructMineDataPipeline:245 spacy_np:186 textrank:173
magnesium	econ:114 auto:234 kea:171 StructMineDataPipeline:184 spacy_np:142 textrank:167
azithromycin	econ:638 auto:255 kea:79 StructMineDataPipeline:194 spacy_np:184 textrank:251
pertussis	econ:115 auto:269 kea:118 StructMineDataPipeline:249 spacy_np:230 textrank:226
isoniazid	econ:118 auto:373 kea:488 StructMineDataPipeline:265 spacy_np:205 textrank:309
nifedipine	econ:376 auto:345 kea:280 StructMineDataPipeline:166 spacy_np:238 textrank:191
anp	econ:603 auto:387 kea:224 StructMineDataPipeline:513 spacy_np:427 textrank:264
abnormalities	econ:195 auto:918 kea:238 StructMineDataPipeline:41 spacy_np:30 textrank:260
bhs	econ:886 auto:825 kea:249 StructMineDataPipeline:795 spacy_np:664 textrank:593
estrogens	econ:117 auto:336 kea:154 StructMineDataPipeline:200 spacy_np:159 textrank:162
infections in private practice	kea:1075
goiter	econ:108 auto:711 kea:300 StructMineDataPipeline:669 spacy_np:707 textrank:310
quartile	econ:120 auto:584 kea:795 StructMineDataPipeline:349 spacy_np:851 textrank:293
naproxen	econ:785 auto:535 kea:408 StructMineDataPipeline:269 spacy_np:145 textrank:536
rodents	econ:914 auto:942 kea:586 StructMineDataPipeline:316 spacy_np:268 textrank:216
hgf	econ:121 auto:539 kea:234 StructMineDataPipeline:809 spacy_np:719 textrank:541
cofactor	econ:160 auto:791 kea:892 StructMineDataPipeline:667 spacy_np:1061 textrank:681
mesylate	econ:361 auto:908 kea:259 StructMineDataPipeline:1069 spacy_np:938 textrank:141
igf-1	econ:122 kea:352 StructMineDataPipeline:521 spacy_np:566
editors summary	econ:1043 auto:494 rake:171 kea:0 StructMineDataPipeline:145 spacy_np:939
osteopenia	econ:861 auto:575 kea:616 StructMineDataPipeline:407 spacy_np:367 textrank:391
anca	econ:127 auto:389 kea:734 StructMineDataPipeline:620 spacy_np:437 textrank:489
primary care practice	econ:926 auto:446 rake:67 kea:746 StructMineDataPipeline:627 spacy_np:585
organism	econ:133 auto:867 kea:811 StructMineDataPipeline:75 spacy_np:815 textrank:94
uterine cervix	econ:602 auto:456 rake:193 kea:448 StructMineDataPipeline:442 spacy_np:1045
cd26	econ:956 kea:648 StructMineDataPipeline:1087 spacy_np:1002
femur	econ:424 auto:903 kea:834 StructMineDataPipeline:421 spacy_np:731 textrank:614
gonadotropin-releasing hormone	econ:907 kea:695 StructMineDataPipeline:818 spacy_np:460
pex6 gene	econ:1044 rake:257 kea:1141 StructMineDataPipeline:1114
pefr	econ:139 auto:593 kea:639 StructMineDataPipeline:754 spacy_np:802 textrank:620
redistribution	econ:1105 auto:807 kea:421 StructMineDataPipeline:497 spacy_np:522 textrank:735
simva	econ:1104 auto:1021 kea:93 StructMineDataPipeline:1048 spacy_np:972 textrank:784
conduction	econ:1057 auto:939 kea:303 StructMineDataPipeline:668 spacy_np:563 textrank:427
knowledge gaps	econ:1091 auto:160 rake:318 kea:952 StructMineDataPipeline:789 spacy_np:736
sulfur	econ:502 auto:786 kea:826 StructMineDataPipeline:1055 spacy_np:951 textrank:566
pneumococcus	econ:729 auto:501 kea:1010 StructMineDataPipeline:612 spacy_np:690 textrank:791
adcc	econ:916 auto:795 kea:663 StructMineDataPipeline:1011 spacy_np:921 textrank:621
rna molecules	econ:758 auto:744 kea:1050 StructMineDataPipeline:1123 spacy_np:1063 textrank:761
fluid	econ:541 auto:878 kea:208 StructMineDataPipeline:182 spacy_np:251 textrank:201
sleeping sickness	auto:7 rake:152 kea:1160 spacy_np:1047
other features	econ:1125 auto:1109 kea:970 StructMineDataPipeline:501 spacy_np:441
genetic predisposition	econ:1088 auto:82 rake:182 kea:922 StructMineDataPipeline:285 spacy_np:341
staphylococcal	auto:267 kea:1136 StructMineDataPipeline:1139 textrank:315
homosexuals	econ:590 auto:952 kea:649 StructMineDataPipeline:529 spacy_np:567 textrank:428
charcot	econ:1040 auto:484 kea:656 StructMineDataPipeline:1031 spacy_np:839 textrank:666
colloid	econ:619 auto:906 kea:1101 StructMineDataPipeline:1095 spacy_np:985 textrank:610
vincristine	econ:149 auto:616 kea:818 StructMineDataPipeline:257 spacy_np:286 textrank:229
neurodegenerative disorder	econ:324 auto:126 rake:336 kea:1088 StructMineDataPipeline:945 textrank:717
minimum inhibitory concentration	econ:309 auto:84 rake:103 kea:888 StructMineDataPipeline:710 spacy_np:973
husband	econ:714 auto:927 kea:507 StructMineDataPipeline:410 spacy_np:792
minoxidil	econ:685 auto:611 kea:573 StructMineDataPipeline:485 spacy_np:450 textrank:647
human immunodeficiency virus hiv	econ:302 auto:70 rake:4 StructMineDataPipeline:153 spacy_np:193
prostate-specific antigen	econ:154 kea:458 StructMineDataPipeline:437 spacy_np:415
adriamycin	econ:412 auto:530 kea:775 StructMineDataPipeline:522 spacy_np:424 textrank:337
arfi	econ:1140 auto:1014 kea:1074 StructMineDataPipeline:1086 spacy_np:1042 textrank:783
swiss national science foundation	econ:722 auto:18 rake:24 StructMineDataPipeline:567 spacy_np:493
high mortality rate	econ:725 auto:1060 rake:89 kea:893 StructMineDataPipeline:384 spacy_np:974
fna cytology	econ:1099 auto:156 rake:131 kea:1110 StructMineDataPipeline:1006 spacy_np:887
cortisol	econ:78 auto:493 kea:293 StructMineDataPipeline:209 spacy_np:190 textrank:219
thrombocytopenia	econ:161 auto:455 kea:229 StructMineDataPipeline:89 spacy_np:318 textrank:344
glipizide	econ:658 auto:556 kea:394 StructMineDataPipeline:510 spacy_np:440 textrank:534
two families	auto:1104 rake:154 spacy_np:452
korea	econ:165 auto:282 kea:850 StructMineDataPipeline:212 spacy_np:170 textrank:5
raltegravir	econ:826 auto:697 kea:610 StructMineDataPipeline:736 spacy_np:568 textrank:668
responses	econ:166 auto:869 kea:156 StructMineDataPipeline:71 spacy_np:95 textrank:181
chronic obstructive pulmonary disease	econ:301 auto:39 rake:7 StructMineDataPipeline:97 spacy_np:54 textrank:126
major source	econ:1077 rake:229 kea:940 StructMineDataPipeline:361 textrank:551
framingham study	econ:681 auto:1081 rake:195 kea:865 StructMineDataPipeline:431
simvastatin	econ:573 auto:259 kea:183 StructMineDataPipeline:235 spacy_np:216 textrank:403
ebola virus disease	econ:705 auto:108 rake:74 kea:452 StructMineDataPipeline:463 spacy_np:396
sclc	econ:169 auto:513 kea:226 StructMineDataPipeline:417 spacy_np:349 textrank:493
ipratropium	econ:518 auto:440 kea:228 StructMineDataPipeline:538 spacy_np:361 textrank:437
ccr2	econ:1130 auto:730 kea:682 StructMineDataPipeline:937 spacy_np:780
leishmaniasis	econ:379 auto:331 kea:187 StructMineDataPipeline:464 spacy_np:403 textrank:263
gastrinoma	econ:1067 auto:967 kea:777 StructMineDataPipeline:781 spacy_np:769 textrank:688
quinine	econ:298 auto:342 kea:447 StructMineDataPipeline:350 spacy_np:292 textrank:306
primary pci	econ:893 auto:417 rake:129 kea:674 StructMineDataPipeline:491 spacy_np:435
nottingham health profile	econ:1162 rake:96 kea:800 StructMineDataPipeline:1070
lower urinary tract	econ:532 auto:653 rake:73 kea:508 spacy_np:1101
esophagus	econ:175 auto:828 kea:76 StructMineDataPipeline:147 spacy_np:666 textrank:547
electrocardiogram	econ:846 auto:310 kea:707 StructMineDataPipeline:243 spacy_np:660 textrank:531
abdominal	econ:740 auto:543 kea:923 StructMineDataPipeline:819 spacy_np:976 textrank:321
